,listing_id,travel_score
371,Rome11175826,2.0
372,Rome11176650,4.0
373,Rome11183508,3.0
374,Rome1118993,4.0
375,Rome11192573,3.0
376,Rome11194959,2.0
377,Rome11201708,5.0
378,Rome11202477,5.0
379,Rome11203141,5.0
380,Rome11218076,5.0
381,Rome11244926,4.0
382,Rome11246520,3.0
383,Rome11247106,5.0
384,Rome11252803,5.0
385,Rome1126334,3.0
386,Rome1126422,2.0
387,Rome11269480,2.0
388,Rome11273020,2.0
389,Rome11274010,3.0
390,Rome11291375,3.0
391,Rome11295754,2.0
392,Rome11311370,1.0
393,Rome11312278,2.0
394,Rome11314276,2.0
395,Rome11318011,5.0
396,Rome11331389,1.0
397,Rome11332132,1.0
398,Rome11332922,3.0
399,Rome11334415,4.0
400,Rome11334640,3.0
401,Rome11335360,5.0
402,Rome11338328,5.0
403,Rome11354882,5.0
404,Rome11360451,5.0
405,Rome1136511,1.0
406,Rome11367850,2.0
407,Rome1136842,5.0
408,Rome1137487,2.0
409,Rome11387853,1.0
410,Rome1140116,5.0
411,Rome11410331,5.0
412,Rome11428081,1.0
413,Rome11428431,1.0
414,Rome11452606,5.0
415,Rome11452940,5.0
416,Rome11467033,1.0
417,Rome11472006,2.0
418,Rome11475275,1.0
419,Rome1147741,2.0
420,Rome11489162,3.0
421,Rome1149356,5.0
422,Rome11507164,4.0
423,Rome11508812,3.0
424,Rome11509515,2.0
425,Rome11529021,3.0
426,Rome11529620,5.0
427,Rome1153507,2.0
428,Rome1153826,2.0
429,Rome11541020,5.0
430,Rome11549607,3.0
431,Rome11558285,2.0
432,Rome11558320,4.0
433,Rome11564699,1.0
434,Rome11564770,1.0
435,Rome11564787,2.0
436,Rome11565085,5.0
437,Rome11578480,4.0
438,Rome11584659,5.0
439,Rome11585754,5.0
440,Rome1159580,1.0
441,Rome11596627,1.0
442,Rome11598506,4.0
443,Rome11605266,5.0
444,Rome11615755,5.0
445,Rome11618458,5.0
446,Rome11619140,5.0
447,Rome116291,4.0
448,Rome11629837,2.0
449,Rome11631330,5.0
450,Rome11635370,4.0
451,Rome11646721,1.0
452,Rome11650743,2.0
453,Rome11651745,2.0
454,Rome11652513,2.0
455,Rome1165252,2.0
456,Rome11670895,5.0
457,Rome11674799,5.0
458,Rome11685922,5.0
459,Rome1168644,1.0
460,Rome11688962,5.0
461,Rome11690438,5.0
462,Rome11691267,5.0
463,Rome11704359,2.0
464,Rome11711924,5.0
465,Rome1171215,3.0
466,Rome11714928,1.0
467,Rome11723019,2.0
468,Rome117251,5.0
469,Rome11725646,5.0
470,Rome11729043,4.0
471,Rome11729484,2.0
472,Rome11730542,2.0
473,Rome11731431,3.0
474,Rome11732847,4.0
475,Rome1173808,2.0
476,Rome11756453,2.0
477,Rome1176688,1.0
478,Rome11773329,3.0
479,Rome11775650,3.0
480,Rome11784564,4.0
481,Rome11788438,1.0
482,Rome11805130,3.0
483,Rome11816090,1.0
484,Rome11820863,2.0
485,Rome11824448,2.0
486,Rome11831791,3.0
487,Rome11834,5.0
488,Rome11836655,5.0
489,Rome11840092,1.0
490,Rome11840303,2.0
491,Rome11841109,2.0
492,Rome11844763,1.0
493,Rome11855551,5.0
494,Rome11858670,1.0
495,Rome11861640,5.0
496,Rome11861922,2.0
497,Rome11861940,4.0
498,Rome118803,2.0
499,Rome11886562,4.0
500,Rome1189026,4.0
501,Rome11900357,1.0
502,Rome11902443,5.0
503,Rome11904781,2.0
504,Rome11906583,5.0
505,Rome11932035,3.0
506,Rome11932073,1.0
507,Rome11962106,3.0
508,Rome11962709,4.0
509,Rome11975275,2.0
510,Rome11984112,2.0
511,Rome11984477,5.0
512,Rome12001499,2.0
513,Rome12002065,1.0
514,Rome12002783,4.0
515,Rome12007781,2.0
516,Rome12011951,3.0
517,Rome12021533,3.0
518,Rome12029080,5.0
519,Rome12029926,2.0
520,Rome12034141,4.0
521,Rome12044774,3.0
522,Rome12047412,5.0
523,Rome12048865,1.0
524,Rome1204975,3.0
525,Rome12060965,2.0
526,Rome12065882,4.0
527,Rome12074907,2.0
528,Rome12079971,1.0
529,Rome12085555,4.0
530,Rome12108749,3.0
531,Rome1213068,3.0
532,Rome12131969,1.0
533,Rome12139181,3.0
534,Rome12140456,2.0
535,Rome12145308,5.0
536,Rome12149293,5.0
537,Rome12160967,4.0
538,Rome12164505,3.0
539,Rome12166682,1.0
540,Rome12167659,3.0
541,Rome12172089,5.0
542,Rome12180480,2.0
543,Rome12180492,2.0
544,Rome12184633,5.0
545,Rome12187559,4.0
546,Rome12187903,5.0
547,Rome1219644,4.0
548,Rome12212799,2.0
549,Rome12215802,1.0
550,Rome1221610,2.0
551,Rome12217397,1.0
552,Rome1222414,5.0
553,Rome12225025,2.0
554,Rome12229744,2.0
555,Rome12242279,1.0
556,Rome1224367,5.0
557,Rome12243911,3.0
558,Rome12244107,3.0
559,Rome12244644,1.0
560,Rome12244812,5.0
561,Rome1224631,2.0
562,Rome1225255,3.0
563,Rome12256861,5.0
564,Rome12258699,1.0
565,Rome12259797,5.0
566,Rome12263029,3.0
567,Rome12269354,1.0
568,Rome12297456,5.0
569,Rome12300209,4.0
570,Rome12301761,5.0
571,Rome12303464,5.0
572,Rome12303629,1.0
573,Rome12304848,5.0
574,Rome1232308,5.0
575,Rome12339857,1.0
576,Rome12340925,3.0
577,Rome12349007,5.0
578,Rome12357782,5.0
579,Rome12363802,5.0
580,Rome1236381,2.0
581,Rome12365270,2.0
582,Rome12370510,4.0
583,Rome12377068,4.0
584,Rome12377608,1.0
585,Rome12378277,1.0
586,Rome1238545,5.0
587,Rome12392170,5.0
588,Rome12398,3.0
589,Rome12403526,3.0
590,Rome12414618,4.0
591,Rome12415545,1.0
592,Rome124269,5.0
593,Rome12440211,3.0
594,Rome12442914,1.0
595,Rome12443780,2.0
596,Rome1245294,1.0
597,Rome1245631,1.0
598,Rome12461886,2.0
599,Rome12463528,2.0
600,Rome1247378,3.0
601,Rome1247612,1.0
602,Rome1248462,3.0
603,Rome12504925,5.0
604,Rome12507976,5.0
605,Rome12510014,4.0
606,Rome12510273,3.0
607,Rome12529214,4.0
608,Rome12529438,5.0
609,Rome12533910,1.0
610,Rome12553175,3.0
611,Rome12554179,4.0
612,Rome1255470,4.0
613,Rome12555345,1.0
614,Rome12555582,1.0
615,Rome12558208,3.0
616,Rome12573162,1.0
617,Rome12580380,5.0
618,Rome1259613,2.0
619,Rome12598563,2.0
620,Rome12616227,5.0
621,Rome12616677,5.0
622,Rome12621610,1.0
623,Rome12621697,5.0
624,Rome12636889,1.0
